id,produto,ano,valor,categoria,product_id
42,Borra líquida,1973,3559922,DERIVADOS,6c403418-fde8-4432-ae18-406429de5ae0
43,Borra seca,1973,0,DERIVADOS,4a0081f8-5b7c-4c73-8838-1f005fff5a85
44,Vinho Composto,1973,0,DERIVADOS,1b504277-a572-446d-8b53-9b7d244adbc1
45,Pisco,1973,0,DERIVADOS,62dd09ea-f7cb-4361-9a98-c3171419b0bd
46,Vinho orgânico,1973,0,DERIVADOS,c0701bfd-050b-446e-ab74-0944f4ac360e
47,Espumante orgânico,1973,0,DERIVADOS,3f4b5413-ea79-4cec-84bb-a2d69a2fa9f6
48,Destilado alcoólico simples de bagaceira ,1973,0,DERIVADOS,5a81d849-44dd-4401-b42f-2b6fdb7e9839
49,Vinho acidificado ,1973,0,DERIVADOS,3d4c87bb-4543-42fa-8fd2-010f819523ea
50,Mosto parcialmente fermentado ,1973,0,DERIVADOS,3163b7f3-2716-4837-bf8c-b5f743ad306f
51,Outros derivados,1973,0,DERIVADOS,20e70f44-3289-4416-be12-f8fd90726c75
2,Tinto,1974,146544484,VINHO DE MESA,d72f6743-8cf4-436e-8010-c6e4d1a6d71a
3,Branco,1974,4138768,VINHO DE MESA,c5cec2ec-fc51-4b2e-b5dd-787e1e1e5746
4,Rosado,1974,43192093,VINHO DE MESA,50a6aea1-6f35-497b-9e7f-c9742fdd9bab
6,Tinto,1974,10047658,VINHO FINO DE MESA (VINÍFERA),e046fab3-cb6b-4683-8026-28c365230609
7,Branco,1974,18927471,VINHO FINO DE MESA (VINÍFERA),29e23f72-4cdf-4a82-9b8d-4d8a57d2ad77
8,Rosado,1974,2668995,VINHO FINO DE MESA (VINÍFERA),21d65846-3594-4d39-b2fc-c37ea47cb0e8
10,Suco de uva integral,1974,0,SUCO,b6636305-34d2-4a40-ac9e-8e4956ee18e6
11,Suco de uva concentrado,1974,0,SUCO,ab18be90-3f37-4346-ba99-478cc4fb415b
12,Suco de uva adoçado,1974,0,SUCO,33f403d7-107d-4ab9-8603-48bcec4b93b1
13,Suco de uva orgânico,1974,0,SUCO,f3466a0a-c8cf-4441-a738-f7b44f4bbf28
14,Suco de uva reconstituído,1974,0,SUCO,dee8d600-6f8f-4b90-b164-3305a6ef5877
16,Espumante,1974,0,DERIVADOS,c9675c81-ed14-430d-b12e-44e0c4120bb2
17,Espumante moscatel,1974,0,DERIVADOS,db50aae4-f604-427a-b79b-f03a2bd0130a
18,Base espumante,1974,0,DERIVADOS,9cb46605-6cde-4333-8a63-633f07d9573f
19,Base espumante moscatel,1974,0,DERIVADOS,6614bbf6-15ab-44be-b739-b36a3d9ab058
20,Base Champenoise champanha,1974,0,DERIVADOS,d7215c33-0b75-4f24-85c8-911299fa7a06
21,Base Charmat champanha,1974,0,DERIVADOS,90cb059e-ccd9-459a-a2fe-45d8ca643f82
22,Bebida de uva,1974,0,DERIVADOS,35619b70-b9b4-49fe-a7f7-c1585ed4b1de
23,Polpa de uva,1974,0,DERIVADOS,ed375069-f878-45bf-b4da-11bea2860a6d
24,Mosto simples,1974,41346735,DERIVADOS,db8615ae-066a-45a9-9f26-5a3d2b25202c
25,Mosto concentrado,1974,0,DERIVADOS,db35279e-7a69-4a32-b1cb-1e2a0d39d8bb
26,Mosto de uva com bagaço,1974,0,DERIVADOS,9ff404d2-89d4-440c-8897-af2d04d5c326
27,Mosto dessulfitado,1974,0,DERIVADOS,6083bcd1-5b74-458c-a415-1049b8d29ddb
28,Mistelas,1974,826300,DERIVADOS,5a32404f-2d04-4257-94b6-641fa3022476
29,Néctar de uva,1974,0,DERIVADOS,5d501cd8-7ef1-4e43-85e3-92ca41daf8b0
30,Licorosos,1974,135000,DERIVADOS,b79327ec-cbca-4a3b-8718-2ad639008ad9
31,Compostos,1974,0,DERIVADOS,482bebdf-5310-4089-97bf-74738660c46a
32,Jeropiga,1974,0,DERIVADOS,1c9839bb-f1f5-4b7a-93a1-4b7b65832dfd
33,Filtrado,1974,0,DERIVADOS,c48bc262-55c4-4b27-bbec-aa9edafa3dfb
34,Frisante,1974,0,DERIVADOS,6fba6da3-edb0-4015-b42b-b4633b3114ae
35,Vinho leve,1974,0,DERIVADOS,ade40a5e-4c48-4835-9de9-c680cac15a28
36,Vinho licoroso,1974,0,DERIVADOS,e3423c3e-5e6f-400a-a0d2-a31c61d8d601
37,Brandy,1974,0,DERIVADOS,013de4d7-a9a1-46be-97c4-6437b2d978bc
38,Destilado,1974,0,DERIVADOS,da3a68dc-86a6-45db-95df-b575d673ba8d
39,Bagaceira,1974,424620,DERIVADOS,7981bfd9-2aff-4b09-a789-c11951661729
40,Licor de bagaceira,1974,0,DERIVADOS,b5fc0e97-4b6a-41bf-adb3-796918423386
41,Vinagre,1974,35300,DERIVADOS,26bfd1f2-5b73-4ca0-9788-befdd03c4afc
42,Borra líquida,1974,5136979,DERIVADOS,987de798-c311-48a7-ba93-b686f1f1eb5a
43,Borra seca,1974,0,DERIVADOS,2f2be67d-9b70-4273-874c-e6df2d694dbf
