id,control,cultivar,ano,valor,categoria,product_id
50,ti_Piriquita,Piriquita,2012,0,TINTAS,308def4d-7d1e-4b22-85f9-66818fe1af41
51,ti_Rebo,Rebo,2012,16440,TINTAS,d7f49fea-58af-4a33-a291-1ce167fe9e7d
52,ti_Refosco,Refosco,2012,12120,TINTAS,cc235e80-d68b-4da9-ae46-7e90380bb6a3
53,ti_Rondinella,Rondinella,2012,1020,TINTAS,56db960c-5a14-4d74-bd05-e2edaf2eac5c
54,ti_Ruby Cabernet,Ruby Cabernet,2012,470683,TINTAS,cddf10db-44ae-415e-9fec-3f8ded10634f
55,ti_Sangiovese,Sangiovese,2012,280756,TINTAS,32c40dc5-305a-40e0-b2ee-09d6948f9a9f
56,ti_Sira (falsa),Sira (falsa),2012,0,TINTAS,3405e511-0d05-44dd-8382-04fd22e09863
57,ti_Tannat,Tannat,2012,4585214,TINTAS,91e6b274-5ec4-43cc-9e4a-7fd0f5ef8edf
58,ti_Tempranillo,Tempranillo,2012,283929,TINTAS,49c6618c-68f8-49b0-8a15-5e571baceea9
59,ti_Teroldego,Teroldego,2012,157368,TINTAS,e729d249-20ff-422f-83ad-5531295fd8b2
60,ti_Torrontes,Torrontes,2012,4300,TINTAS,59bab228-3af5-42e7-8792-c469dddab54f
61,ti_Tinta Barroca,Tinta Barroca,2012,0,TINTAS,9954594a-56b9-4476-8d15-7dd9a96e68b5
62,ti_Touriga Francesa,Touriga Francesa,2012,0,TINTAS,3d3e62ca-99bb-4283-a3ba-072665b0349e
63,ti_Touriga Nacional,Touriga Nacional,2012,133820,TINTAS,86a97462-ce73-4fd0-9b0f-8e69d6aa1855
64,ti_Tinta Madeira,Tinta Madeira,2012,0,TINTAS,4d4b6171-3a44-49da-be6a-7992ae2515fb
65,ti_Tintoria,Tintoria,2012,0,TINTAS,1e801dc9-2174-4e49-b9aa-953d6848c5cb
