id,control,produto,ano,valor,categoria,product_id
53,ou_Vinagre_balsamico,  Vinagre balsamico,2013,122749,OUTROS PRODUTOS COMERCIALIZADOS,9d101aec-154b-48e1-8a1c-38386acc11cf
54,ou_Vinagre_duplo,  Vinagre duplo,2013,3233270,OUTROS PRODUTOS COMERCIALIZADOS,859d52f7-5a39-42fc-8103-5d91a518d282
55,ou_Vinagre_simples,  Vinagre simples,2013,8049936,OUTROS PRODUTOS COMERCIALIZADOS,2333095f-386e-4adb-a03d-9d0ba2aae32a
56,ou_Vinho_acetificado,  Vinho acetificado,2013,3154800,OUTROS PRODUTOS COMERCIALIZADOS,128a1b7e-ea91-49a8-80aa-882a020961a8
57,ou_Vinho_base,  Vinho base para espumantes,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,4c5a9585-d228-4e94-947a-e5774b01c7bc
58,ou_Vinho_composto,  Vinho composto,2013,595513,OUTROS PRODUTOS COMERCIALIZADOS,d803382a-a9ed-4aa3-a338-b68cb7edc391
59,ou_Vinho_licoroso,  Vinho licoroso,2013,609153,OUTROS PRODUTOS COMERCIALIZADOS,0d5097f3-307e-4895-8fc8-b9567b78dec8
60,ou_Vinho_leve,  Vinho leve,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,d9f21c6b-f4fe-45d1-bd6c-c305733ac8a9
61,ou_Vinho_gaseificado,  Vinho gaseificado,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,8c0956c1-1fd9-46b8-a013-33979e43c871
2,vm_Tinto,  Tinto,2014,178250072,VINHO DE MESA,d3f55bf6-730e-4afd-b6d6-764e68d23418
3,vm_Rosado,  Rosado,2014,1419855,VINHO DE MESA,5c88400b-deda-46ff-8383-003febde4037
4,vm_Branco,  Branco,2014,26734500,VINHO DE MESA,dc70c73e-88dd-4da8-8b02-8ca7102eef63
6,vm_Tinto,  Tinto,2014,15354938,VINHO  FINO DE MESA,e61a2778-37c4-430b-aaaa-0a048165213e
7,vm_Rosado,  Rosado,2014,164219,VINHO  FINO DE MESA,c26132c7-f5d1-4696-aad1-793784003e2a
8,vm_Branco,  Branco,2014,4905826,VINHO  FINO DE MESA,f5f9ae4d-9ebf-40e9-bf98-5e52907a08e0
12,ve_Tinto,  Tinto,2014,7231,VINHO ESPECIAL,26f69d0f-58ea-44ac-87ac-a7231a395d85
13,ve_Rosado,  Rosado,2014,0,VINHO ESPECIAL,0eb1fb58-6676-4a2e-83bd-8c614ace0b3a
14,ve_Branco,  Branco,2014,0,VINHO ESPECIAL,b6125aaa-6875-4f5a-9a2a-19003830ed6f
16,es_Espumante_Moscatel,  Espumante  Moscatel,2014,4588465,ESPUMANTES ,e1055a83-c5ba-45e2-aa6f-c3915edafe5f
17,es_Espumante,  Espumante,2014,12602610,ESPUMANTES ,2dd9d013-9905-47c7-b2b0-93defb0885bf
18,es_Espumante Orgânico,  Espumante Orgânico,2014,0,ESPUMANTES ,3764cd14-acaf-4fe5-816f-dd106135ccee
